business_id,date,review_id,stars,text,type,user_id,cool,useful,funny,zero_shot_predicted_stars,zero_shot_explaination,few_shot_predicted_stars,few_shot_explaination,cot_predicted_stars,cot_explaination
01cEFI5Pq_RyEwM3GSTopQ,2011-12-31,xWAvESbLyNmdpdvK32zz5g,4,"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",review,4Nc0DPLqeSZuqvr1gBTy3Q,0,0,0,5.0,"The review is overwhelmingly positive, praising the food quality, efficient service for a large group, and reasonable pricing. No complaints or negative remarks are present, indicating a highly satisfied customer.",4.0,"Positive food, quick service, good value, no complaints.",4,"The review is overall positive, praising food quality, efficient service for a large group, and good value. No negative points or strong superlatives are present, so a solid 4‑star rating is appropriate."
Br9Ruk5yY9ui8OiKChWdgw,2012-01-31,yPNKoTo0W2j-6CxfONssLg,5,"This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring in food from another place to enjoy and just enjoy a great atmosphere.
With the music that someone has an issue with you can just talk to the DJ to get a suggestion they are MORE than accommodating.
They have a great happy hour prices! 
Overall great prices, great people, and a great time! If you have the right mind :)",review,pJ3kMwJQJsSZmewt_wzPPg,0,0,0,5.0,"The review is overwhelmingly positive, praising the atmosphere, staff friendliness, happy hour prices, and overall experience with no complaints. This suggests a 5‑star rating.",4.0,"All positive, no complaints, happy hour praised, typical 4‑star vibe.",5,"The review is overwhelmingly positive, praising the atmosphere, service, and prices with enthusiastic language and no negative points."
_fTwf7Oo5DqiCpgEhDZ9VA,2011-09-25,gvdxUyeULOzj8irBHwzhdA,3,Air Jordan! need I say more?,review,pw-k3TMjt1ZNB2-iRVTDlQ,0,0,0,5.0,"The review is short and enthusiastic, expressing excitement about Air Jordans with no negative remarks, indicating a very positive sentiment.",5.0,"Enthusiastic, minimal praise implies top rating.",5,"The review is a short, enthusiastic statement praising Air Jordan, with no negative comments or issues mentioned."
LWtoosGlzTOp8A73Jh7cQw,2010-11-08,1FLzfSSQMNekqAaMC0jyOA,4,"There are many other reviews which extol the virtues of this location. I just wanted to add some of my experiences as well as a few observations.

First off, at the time of this writing I've been in Phoenix for about a year. Learning about all the necessary places to go in a new town, I had the opportunity to rate businesses objectively (not like 'My mom always went there so I do too...')

Fry's became a standard 'go to' place. Their hours are great (5 AM to 1 AM). There are many locations, and their prices are very competitive. They also have a convenient VIP card and electronic coupon program.

Specifically to my needs, this location has a good pharmacy, an organic/health selection and a well stocked bakery and deli (for parties and special occasions). Their parking is reasonable and the lot is well kept/secure. There's also a Chase branch nearby as well as a Best Buy, Staples and Old Navy. On Wednesdays there's a Farmer's Market just across the street for everything else I can't find here.

Not all Fry's carry the same things. For instance, I can only depend on this location to carry pita bread, garlic naan, large Fage yogurt as well as the Mexican version of creme fraiche. I appreciate this greatly.

One word of caution, be firm with the staff at the deli. Take a number, insist on their attention, and don't let them gyp you with small wings or the bottom of the pasta selection. I know some of them don't care about their job, but don't let that ruin your experience. Remember: they're probably making minimum wage.

Oh, and the other reviewer's comment about the parking is accurate, although I'm not sure what they can do about it as this is a mall complex.",review,mbgppRfYH0kC7p7X2VPcGg,0,0,0,4.0,"The review is largely positive, highlighting convenient hours, good selection, competitive prices, and a well-kept parking lot. The only notable complaint is about the deli staff’s attitude, which is a single issue in an otherwise favorable review. This balance of praise with a minor criticism suggests a solid 4‑star rating.",4.0,"Mostly positive, minor staff issue noted.",4,"The review is largely positive, praising hours, selection, convenience, and value, with only minor complaints about deli staff and parking. This balance suggests a 4‑star rating."
Y_TtMiH_nx33FH4C48XhsA,2011-04-26,FcIL0kPumNkm-ks908FX8A,5,"TJ was there for me when my water heater broke and started flooding my garage.  He walked me through fixing it over the phone until he was able to send some help to my house.  Very grateful, and I will continue referring!",review,lMS9mDMkdKZQ79NBot8srQ,0,0,0,5.0,"The review is overwhelmingly positive, praising the prompt and helpful service. No complaints or negative remarks are present, indicating a highly satisfied customer.",5.0,"Grateful, will refer, excellent service.",5,"The review is overwhelmingly positive, expressing gratitude and intent to refer the service. No negative points or complaints are mentioned, indicating exceptional satisfaction."
rIonUa02zMz_ki8eF-Adug,2010-01-25,72RLVL7ulxXkh-Sv01l73w,2,"So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
The burger was good. Not great, not bland, just okay. My biggest hang up with this restaurant are the prices! Skip the beverage... it's very over priced. I was also not impressed with the fries- regular or cajun. They were pretty average as well. Stick with the burger and skip the rest is my suggestion to you.",review,93CVZEe3_HTk_GdDZOHy6A,0,2,0,2.0,"The review is overall negative: the burger is only ‘okay’, the fries are average, and the reviewer criticizes the high prices and suggests skipping most items. This mix of mild praise with several complaints points to a low rating, likely around 2 stars.",2.0,"Overpriced, mediocre food, negative tone, minimal positives.",2,"The review expresses disappointment with high prices and average fries, while the burger is only 'just okay'. Overall sentiment is negative with few positives, fitting a 2‑star rating."
h8rqIokh6EkM4flR9CjxbA,2009-02-23,5rzUPtAk7rR5EK8x_WszwA,4,"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!",review,fczQCSmaWF78toLEmb0Zsw,6,8,2,2.0,"The review expresses disappointment with the store’s service (spelling error, small registry department) and a general discomfort with the high‑end atmosphere, despite acknowledging product quality. The tone is negative and the specific complaint suggests a low rating, but it is not an extreme rant, so a 2‑star rating is most appropriate.",2.0,"Mostly negative, minor positives, not impressed with service.",2,"The review expresses disappointment with the store’s atmosphere and a specific service error, but it does not contain extreme anger or a call to never return. The overall tone is negative with a few mild positives, fitting a 2‑star rating."
AgJbkqR-wre409if4fTbWQ,2011-08-02,TNjJ7gjtr7gjJ_LQDrCUIw,4,"I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""petite"" burger. It is smaller but has the same toppings you order on the regular. So for those of you that don't want to have a burger that is 1000 calories (yes they are and more with the endless fries) , try the petite.",review,KLekdmo4FdNnP0huUhzZNw,0,0,0,5.0,"The review is entirely positive, highlighting a lower‑calorie option at Red Robin and encouraging others to try it. No complaints or negative remarks are present, indicating a highly favorable experience.",4.0,"Positive recommendation, no complaints, moderate enthusiasm.",4,"The review is positive and helpful, highlighting a smaller, lower-calorie option at Red Robin. It lacks any negative comments or complaints, but it is not overly enthusiastic or praising the overall experience, so a 4-star rating is appropriate."
o-OV2LkJxpcCHmI_d4TZiQ,2009-07-16,cBuGiqccc8mE8x6f_JidHg,5,Great pizza and awesome must have guacamole pizza appitizer!!!!,review,SWQ473Py5zCDHU4IbxlE2Q,0,0,0,5.0,"The review is overwhelmingly positive, praising the pizza as ""great"" and the guacamole pizza appetizer as ""awesome"" and a must-have. No complaints or negative remarks are present, indicating a high satisfaction level typical of a 5‑star rating.",5.0,"Enthusiastic praise, no complaints.",5,"The review is overwhelmingly positive, using enthusiastic language and multiple exclamation marks to praise the pizza and guacamole appetizer. No negative aspects are mentioned, indicating a strong recommendation."
2TWGIhh6y-f9fe-Q6kySGQ,2009-10-27,SkO0tzjC5Xyt4ZzMC9XS9w,5,"This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa area, or already know people who live there.  I say it's convenient-- if you are flying in from Grand Island or Grand Forks or Rapid City or East Bugtussel, since the only commercial tenant at this decomissioned air force base is Allegiant Airlines, which specializes in flying you from nowhere to somewhere (Phoenix, Las Vegas, Orlando that sort of thing).  

But from landing to sitting in my rental car it was maybe 20 minutes tops and I was heading out to lunch in the Phoenix area (don't bother with purchasing the ""snacks"" on the flight, just make sure you are prepared beforehand).",review,dny_S2iY4Wp2SisZzbZ7RQ,1,3,0,,Error: Unterminated string starting at: line 2 column 3 (char 4),4.0,"Positive tone, convenience praised, no major complaints.",4,"The review is overall positive, praising the airport’s convenience and quick transfer to a rental car, with only a mild comment about flight snacks. No major complaints or negative experiences are mentioned, so a 4‑star rating is appropriate."
eIxSLxzIlfExI6vgAbn2JA,2010-04-10,b01QqdMpIIaeEnMs_g92pQ,5,"Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burger was still fantastic! I'm also happy that the fries were a little bit less salty than my previous trip. 

With any burger purchase, getting the combo pack (fries/soda) is the smart choice.

I do wish that they would lose the styrofoam soda cups and offer more than one size of drinks.

Make sure to grab plenty of napkins before you sit down. The burger can make a mess with the homemade sauce dripping off the meat and bun. That's a good thing in my opinion!",review,9qCPmT6ovJjxL4tJB4ANCg,2,3,1,4.0,"The review is overwhelmingly positive, praising the burger and fries while only noting minor inconveniences (styrofoam cups, drink sizes, and the need for napkins). The overall tone is upbeat, suggesting a 4‑star rating.",4.0,Mostly positive with minor complaints.,4,"The review is largely positive, praising the burger and fries while noting only minor inconveniences (styrofoam cups, drink sizes, need for napkins). No major complaints about service or ambiance, so a 4‑star rating is appropriate."
e8Eke5v8pXw-PuRCu2uPjg,2012-02-25,sEpffpL6SPsu4vUlI9la1g,5,"Simple but really great cajun food prepared in steamers right in front of you.  Selections include gumbo, pan roasts (a tomato-based broth with chunks of seafood), or seafood creole all with your choice of shrimp, crab, chicken, crawfish, oysters, or all five, with rice. They also have fresh oysters, jumbo shrimp cocktails, salads, and tasty seafood chowder, as well as the occasional lobster special. I've been probably 20 times and still never had a bad dish. The staff is friendly and helpful, and will adjust the spiciness of the dishes to your taste. By far the best option at the Talking Stick resort.

As another reviewer noted, this restaurant is really just a bar with a couple of tables, stuck right off the casino floor. This is definitely not a fine dining spot, with the clanging of slot machines and dead-eyed gamblers shuffling around fifteen feet away. Still, it's definitely worth a visit to Talking Stick. At $10-12 for lunch portions and $17-19 for huge dinner servings, and $25 for a massive platter of oysters, shrimp, crab, mussels, and clams, it's a fantastic value for the quality and tastiness of the food.  Good, reasonably priced seafood can be hard to come by in the valley, but this spot is a gem.",review,ZmCfwDMuYkhpyr-hWKgiaw,0,3,0,5.0,"The review is overwhelmingly positive, praising the food quality, variety, staff friendliness, and value. The only mild criticism is the noisy casino setting, which does not outweigh the overall enthusiasm. This suggests a 5‑star rating.",5.0,"Consistently great food, friendly staff, great value, only minor noise issue.",5,"The review is overwhelmingly positive, praising food quality, service, and value, with enthusiastic language and superlatives, while only noting minor ambiance drawbacks that do not outweigh the overall experience."
YEOnspVAXguZEJp0iKLq8w,2012-05-13,BvFYrSSJRDqJwSbVyQhPVw,1,"Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling itself was over priced almost $20 per person. The only thing about their extreme bowling was that it was extremely hot, temperature wise. they had many ceiling fans and not one of them turned on. And the bowling equipment malfunctioned three times during our games. It was not a pleasant experience and I don't believe we'll be going to this facility again.",review,fQ6h0-OZX2deMTwTHfHthQ,0,0,0,1.0,"The review is overwhelmingly negative, citing rude staff, high prices, equipment failures, and poor service. No positive aspects are mentioned, indicating a very poor experience.",1.0,"Multiple severe complaints, no positives, strong negative tone.",1,"The review is overwhelmingly negative, citing rude staff, high prices, poor temperature control, equipment failures, and a decision not to return, indicating a 1‑star rating."
I5ypI3aYbbTL8dAjnI3PDw,2010-02-14,psMnrkshrBBbqk-2SxX5og,4,"The staff is really helpful.  I arrived without credit card due to a travel mishap and they were great about providing assistance to get me to a bank to help clear things up.  Their bell staff is friendly and knowledgable.  They can and will get you anywhere in town.  

Room was okay.  Clean, well furnished and updated.  I had a window overlooking the courtyard and I would recommend avoiding that.  It can get a little loud at night.  

Banquet food was good.  Not great, but good and plentiful.  Good variety of dishes for everyone from salads and sandwiches to hot dishes.  A few of the items were a little salty for my taste but with a buffet style service, if something didn't suit, you could replace it with something else.  The break service was astonishing--they really go all out!  

If you are visiting during the right weather, do not miss the pool area.  It's fantastic!",review,UgzVB_RRQEg0kZ3IibRuHA,1,1,0,4.0,"The review is largely positive, praising helpful staff, clean and updated rooms, good banquet food, excellent break service, and a fantastic pool area. Minor complaints about noise from the courtyard window and a few salty dishes are noted, but they do not dominate the overall sentiment. This balance of strengths and small issues points to a solid 4‑star rating.",,Error: Expecting value: line 1 column 1 (char 0),4,"The review is largely positive: staff help, clean rooms, good food, great pool. Minor negatives (noise, some salty food) are noted but not severe, leading to a 4‑star rating."
jJhNOhuGpIsJX5SEUFFWYQ,2009-05-05,uMQ4juin9OVWjvOnLn--NA,4,"Someone asked the question in the Yelp talk threads where the best place was for fried things, like french fries and onion rings.  Several people said Ted's had great onion rings......so off I went!  

I expected a smaller place but I was pleasantly suprised when I pulled up to a medium sized store.  I was greated with a smile and asked what I would like.  It was a Sunday afternoon so they were not very busy.  I liked the fact that you tell them what you want and they toss it on the grill right in front of you.  Everything is freshly cooked.  They did the same with the onion rings and french fries too.  Everything was fresh and hot.  My daughter had her favorite....a hot dog, which she loved, and fries which were fresh and crisp.  I had a burger and onion rings.  Yes, the onion rings were delicious!  The batter was great and the onions were a little on the sweet side.  My burger was cooked to perfection.  

This is another great little place we will go back to.  It's also sort of near my work so maybe I'll get out one day and go here for lunch.  Thanks Ted's and Yelpers!",review,ZmIgP4U4Ht9CYmNX0_zP6w,10,12,5,5.0,"The review is overwhelmingly positive, praising the food quality, service, and atmosphere with no negative remarks. This indicates a 5‑star rating.",5.0,"Highly positive, enthusiastic praise, multiple compliments, clear intent to return.",5,"The review is overwhelmingly positive, praising food quality, service, and overall experience with enthusiastic language and no complaints."
W-9YqWhkfeK-K3xGFvFeuw,2011-11-29,930PX8SNo5zxtlcJOio4ig,4,"After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of tasty burritos.  We ended up getting non-burrito meals, but were fully satisfied with our entrees.  The green chile plate was filled with perfectly cooked pork with a spicy tomatillo sauce that went well with the pork.  The horchata tasted freshly made and was very refreshing and light.  Overall, I think Big Burrito is a good option for those that want a filling meal without breaking your wallet.",review,uZbTb-u-GVjTa2gtQfry5g,0,1,0,4.0,"The review is overall positive, praising the food quality, freshness, and value. No complaints are mentioned, but the tone is appreciative rather than effusive, suggesting a solid 4‑star rating.",4.0,"Positive review, good food and price, no major complaints.",4,"The review is overall positive, praising food quality and value, with no negative points or strong superlatives. It reflects a good experience but not exceptional, fitting a 4‑star rating."
z7W0sUbrVi2k6R2BR5jtzw,2012-01-19,SMTjk42KnUfJn1vLh8Y_eA,1,Prices are often way too high!,review,XqDh0QDMoMAaBvJcakze5A,0,0,1,2.0,"The review expresses a clear negative sentiment about pricing, indicating dissatisfaction but not a complete condemnation of the business.",2.0,"Only complaint about high prices, no other positives.",2,"The review expresses a clear negative sentiment focused solely on high prices, with no mention of other aspects. This single complaint suggests a disappointing experience but not a complete failure, leading to a 2‑star rating."
puy0PzIcCgR3KWJI7llBFQ,2009-11-20,VqDKlhAtDIRjxQdwvqusBQ,4,"I have been to this place twice so far.  The first time I had no idea what to expect since I never heard of it before.  I honestly have no idea what to compare it to but I guess the closest thing is Texas Road House judging by the reviews here on Yelp.  Anyway, I know its not the classiest joint with the best food, but anything is worth a fair shot.  The first time my wife and I went we were in the area doing some shopping and just wanted something quick and casual for dinner.  We didn't expect anything great but to be honest our expectations were exceeded.

The happy hour is pretty good.  $3 pints and 2 for 1 cocktails/wine.  Both times we went we ordered a 2 for 1 drink which would have been ok if they didn't charge too much for the first one.  I mean $5 for a small glass of Yellow Tail?  They are giving you 2 though so I can't complain too much I guess.

The thing we love about this place is the 2 meals for $13.99 special they have going on.  There are some pretty good options if you stay away from the fried stuff.  So far we have had the chop steak, steak and the salmon.  They are all very good and decently sized.  They prepare them however you want (sauce on the side, etc.) and everything comes with 2 sides.  There are 10 or so sides to choose from.  I get a side salad and some grilled onions or mushrooms to go with whatever meat I am having and they are always very good.  My wife always gets some sort of grilled vegetable and they are good as well. 

The service is very fast and friendly and the food always comes out pretty quick.  Oh yeah, and I also am a fan of their peanuts as well as the rolls that you get to start.",review,rLtl8ZkDX5vH5nAx9C3q5Q,0,0,0,4.0,"The review is largely positive, praising the value of the meal specials, the quality of the food, quick friendly service, and good happy‑hour deals. Minor complaints about drink pricing are noted but do not outweigh the overall satisfaction. This balance of strong positives with a few small negatives points to a 4‑star rating.",,Error: Expecting value: line 1 column 1 (char 0),4,"The review is largely positive, praising food quality, value, and service, with only a minor complaint about drink pricing. No major issues or negative sentiment are present, indicating a solid 4‑star rating."
siFw3cNWKfFL14K3aF2Fiw,2011-02-23,enO2RiutNuor8px7AmK81Q,2,"The wood saw is always out of service...
The garden department is nice, but the staff is a little strange.

This location never seems to be busy, so check out times are short. 
The prices are higher than ""another"" home improvement store just east on Baseline.

Meh.",review,0o0VMEJeQY0pAAZ9nxErBA,1,2,1,2.0,"The review is largely negative—complaints about broken equipment, odd staff, slow checkout, and higher prices—while only a single mildly positive comment about the garden department. The overall tone is disappointed, suggesting a low but not the lowest rating.",2.0,"Mostly negative, some mild positives, overall disappointed.",2,"The review expresses frustration with key tools being out of service, staff behavior, and higher prices, while only a minor positive note about the garden department. Overall sentiment is negative with few redeeming points, fitting a 2‑star rating."
0AZiq_OMKs3I9lTmwd5PSg,2009-12-30,swAgg95rDJ6I2SLOGkTZdA,2,"I've never been to a restaurant where we (a party of 6 with a reservation) sat at a cleared table with no water, no bread, no cutlery, no service for 15 minutes before receiving a menu .... when we finally had someone provide a menu, it then took another 15 minutes to get the wine we ordered. 
Still no bread, still no food. 

The server dumped the wine bottle on the table (unopened), and went to find glasses. 10 minutes later she then threw the bottle opener at our table so we could open the wine ourselves while she went to find glasses. Most (!?!) of the wine glasses arrived within the next 10 minutes, and still no bread or food. 
Do I need to go on? 

And while the server apologized profusely, she never offered to take anything off the bill or even a dessert on the house for our clearly disgruntled group. 

Food was fine -- the house-made burrata is quite remarkable. But not enough of a reason to return. Others we were with have had better experiences, and I would hope for the owner's sake that our dinner was an aberration...",review,Z7aw8EbiklwKeaIzGj5Otg,0,0,0,2.0,"The review is overwhelmingly negative, highlighting severe service failures (no water, bread, cutlery, long delays, mishandled wine, no compensation). The only positive note is the burrata, which is insufficient to offset the poor experience. This pattern typically corresponds to a 2‑star rating.",,Error: Expecting value: line 1 column 1 (char 0),2,"The review is dominated by severe service failures and frustration, with only a brief positive note about the food. The overall tone is negative and disappointed, fitting a 2‑star rating."
ZdQbDVZWDsO-d7q2qW8E3A,2012-11-11,-Ieb92HyWYckqlJTAuf_GA,1,"My wife and I live around the corner, hadn't eaten here in a few months. We got food for take out, Mongolian beef,kung po chicken,pad Thai noodles.  Mongolian beef, there were more white onions then scallions and it was very bland. Kung po chicken,lots of white meat chicken the whole dish only had one peanut and the taste of this dish was non existent. Very very Blah... Pad Thai noodles,the dish was dry and came out of the container in one giant clump. It tasted like plain noodles, i was glad I had peanut sauce in the fridge to,add to it. Then it was edible .... We will not be going back to G@S.. Very disappointed !!!! From now on it will be Jade palace on 92nd street. For take out Asian !!!!  Do yourself a favor go elsewhere !!!!",review,P0Ki-xij91UU-_Hk4t6tGA,1,1,0,1.0,"The review is overwhelmingly negative, highlighting bland, underseasoned dishes, poor presentation, and a clear intent not to return. No positive aspects are mentioned, indicating a very low rating.",,Error: Expecting value: line 1 column 1 (char 0),1,"The review is overwhelmingly negative, describing bland food, poor taste, and a strong intent not to return, indicating a 1‑star rating."
